naics_code,industry
11212,Dairy Cattle and Milk Production
112310,Chicken Egg Production
2361,Residential Building Construction
236116,New Multifamily Housing Construction (except For-Sale Builders)
2362,Nonresidential Building Construction
23621,Industrial Building Construction
236220,Commercial and Institutional Building Construction
237990,Other Heavy and Civil Engineering Construction
238210,Electrical Contractors and Other Wiring Installation Contractors
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing
311991,Perishable Prepared Food Manufacturing
32412,"Asphalt Paving, Roofing, and Saturated Materials Manufacturing"
325212,Synthetic Rubber Manufacturing
325411,Medicinal and Botanical Manufacturing
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
3329,Other Fabricated Metal Product Manufacturing
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
333242,Semiconductor Machinery Manufacturing
333613,Mechanical Power Transmission Equipment Manufacturing
33399,All Other General Purpose Machinery Manufacturing
33411,Computer and Peripheral Equipment Manufacturing
334210,Telephone Apparatus Manufacturing
33429,Other Communications Equipment Manufacturing
334290,Other Communications Equipment Manufacturing
334310,Audio and Video Equipment Manufacturing
3344,Semiconductor and Other Electronic Component Manufacturing
33441,Semiconductor and Other Electronic Component Manufacturing
334412,Bare Printed Circuit Board Manufacturing
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
334517,Irradiation Apparatus Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
33599,All Other Electrical Equipment and Component Manufacturing
336111,Automobile Manufacturing
33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing
33641,Aerospace Product and Parts Manufacturing
336411,Aircraft Manufacturing
339112,Surgical and Medical Instrument Manufacturing
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
42345,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
424120,Stationery and Office Supplies Merchant Wholesalers
424210,Drugs and Druggists' Sundries Merchant Wholesalers
424330,"Womens, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
4244,Grocery and Related Product Merchant Wholesalers
42449,Other Grocery and Related Products Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
4451,Grocery and Convenience Retailers
44611,Pharmacies and Drug Stores
446110,Pharmacies and Drug Stores
453220,"Gift, Novelty, and Souvenir Stores"
