state,city,avg_process_date
IL,Sycamore,1079
WV,Sissonville,1053
MN,"Shareview ",803
MN,"St. Louis Park ",797
CA,Covina,778
IL,Napperville,666
CA,Sanfrancisco,666
NY,"Carle Place",624
NC,"E. Charlotte",602
NY,Olean,587
WI,Baraboo,566
LA,"New Orleans ",536
IA,"Urbandale ",505
CT,"East Hartford ",498
CA,Merced,473
LA,Lafayette,469
WV,Ranson,462
CA,Sunnyvaale,456
OH,"Brook Park",450
NJ,"East Brunswick ",432
WA,Bellvue,430
MA,Norton,416
CA,"#41740 San Diego Ca Msa",408
MN,"Eden Praire",398
LA,Lafayete,398
OR,"Suite# 204",391
PA,Swiftware,386
NJ,"Mt Laurel",385
PA,"Castle Shannon",361
NJ,"Hackensack ",357
OH,"Blue Ash ",339
FL,"Bonita Springs",326
VA,"Mc Lean ",287
MN,Anoka,283
CT,"Shelton ",283
OR,"Salem ",279
MI,"#19820 Detroit Msa",267
WV,"Charles Town",240
NC,"Black Mountain",238
KY,Lexngton,237
FL,"South Miami",235
IL,Savoy,231
NY,"Port Washington",230
NJ,Holmdel,215
OR,"Hillsboro ",210
VA,Arlington,208
SC,"Rock Hill",207
NJ,"Buena Vista",205
TX,"Fort Worth ",204
TX,"Grapevine ",203
MN,"St Louis Park",196
UT,Lindon,193
AL,"Birmingham ",189
CT,Wallingford,181
MI,Melvindale,179
MN,Wayzata,176
PA,Broomall,175
IL,Schaumnburg,165
PA,Pittsbburgh,162
PA,Yardley,158
MA,"Fall River",156
IL,Schaumbrug,154
IL,"Des Plaines ",144
NJ,"Morris Town",143
IL,Schuamburg,141
MI,"Dimondale ",140
MO,"St Louis ",139
NJ,"Franklin Lakes ",137
NJ,"Ridgefield Park",136
CT,Greenwich,131
CA,"41740 San Diego Ca Msa",129
MN,"Eden Prairie ",128
CT,Plainville,126
NJ,Pinebrook,122
IL,Mossville,122
WA,Tacoma,121
CA,"Brea ",121
MA,Chelsea,120
CA,"Torrance ",118
PA,Moon,117
CT,Waterbury,110
CT,Shelton,110
PA,Wilkes-Barre,108
NY,"Spring Valley",107
MI,Waterford,107
MI,"Allen Park",106
IL,"Hoffman Estates ",105
IA,"Charles City",105
IL,Schaumburg,104
RI,"Smithfield,",103
FL,"Saint Augustine",102
MD,"Baltimore ",97
IL,Chatham,96
PA,Warminster,94
OH,"Liberty Township",91
MA,Carlisle,91
MA,"Boston ",91
CO,Superior,90
NJ,"Middletown Township",89
CA,"Oak Park",89
MI,"East Lansing",89
CT,"New Haven",89
CT,"West Hartford",87
IL,Belleville,85
OH,Hilliard,82
MD,"Lutherville Timonium",82
CA,Vista,78
SC,Spartanburg,77
MI,"# 19820 Detroit Msa",76
RI,Cranston,75
MI,"West Bloomfield",74
MI,Dearborn,74
PA,Levittown,72
NJ,Fords,71
MI,"Auburn Hills",71
OH,"Mason ",70
FL,"St Augustine",70
NY,"East Greenbush",69
MO,St.Louis,69
NJ,"Parsippany, ",67
CA,Goleta,67
RI,"Smithfield ",66
MI,Taylor,66
FL,Medley,66
NE,Lincoln,64
MN,"Plymouth ",64
IL,"Northbrook ",64
GA,"Atlanta,",64
NY,Buffalo,63
FL,"Spring Hill",63
OH,"New Albany",62
NJ,"Ewing Township",62
VA,Elkton,61
TX,"El Paso",59
PA,Colmar,59
WI,Hudson,58
CA,Agoura,58
MD,Clarksburg,58
UT,Provo,57
MA,Andover,57
OR,"Portland ",55
TX,Justin,54
MN,Edina,54
IL,Westmont,54
NJ,Ewing,53
NH,Portsmouth,53
MA,Devens,53
HI,Honolulu,53
IL,Scahumburg,52
IL,"Hoffman Estates",51
OH,Gahanna,50
UT,"American Fork",49
OH,"Plain City",48
SC,"Greenville ",47
AZ,"Scottsdale ",46
MI,"Ann Arbor",46
DC,"Washington D.C.",46
OH,"North Royalton",45
CA,Downey,45
FL,Tallahassee,45
CT,Norwalk,45
TX,Grapevine,44
TN,"Brentwood,",44
OR,"North Plains",44
OH,Worthington,44
OH,Powell,44
NY,Brooklyn,44
NH,Merrimack,44
MO,"Lake St.Louis",44
MI,"Livonia ",44
FL,Doral,44
PA,Swiftwater,43
PA,"Malvern ",43
PA,Easton,43
CA,Cupertino,43
IN,Columbus,43
IL,"Lake Zurich",43
TX,"Justin ",42
MA,Acton,42
IL,Glenview,42
AL,Huntsville,41
CA,Hercules,41
NJ,"Lawrence Township",41
MI,Grandrapids,41
MD,"National Harbor",41
AZ,Tucson,40
OH,"Cincinnati ",40
NY,"East Syracuse",40
NY,"Melville ",39
FL,"Miami Lakes, Miami",39
WV,Martinsburg,38
RI,"Providence ",38
NY,Watertown,38
NH,Keene,37
MI,Detroit,37
FL,"Miami Lakes",37
CA,"Elk Grove",36
CA,"Santa Barbara",36
DE,Claymont,36
NJ,"Piscataway Township",35
MI,Canton,35
MI,"Bloomfield Hills",35
MA,Norwood,35
CA,"Sacramento ",35
VA,"Reston ",34
TX,"Fort Worth",34
OR,Hillsboro,34
NY,Latham,34
CA,Gardena,34
MI,"Benton Harbor",34
IL,Decatur,34
CA,Torrance,34
NJ,"Old Bridge",33
MI,Livonia,33
MA,Bedford,33
KY,Frankfort,33
IL,"Naperville ",33
CA,Sunnyvale,33
WI,"Menomonee Falls",32
AZ,"Phoenix ",32
NJ,Moorestown,32
NJ,Mahwah,32
MO,"St. Charles",32
PA,Devon,31
MI,Hamtramck,31
IL,Naperville,31
IL,"Mount Prospect",31
TX,"San Antonio ",30
NJ,"North Brunswick Township",30
NC,"Morrisville ",30
MN,Shakopee,30
CA,Tulare,30
WI,"Madison ",29
NJ,Secaucus,29
MA,Lexington,29
FL,Clearwater,29
AL,Birmingham,28
CA,"Los Gatos",28
MI,Pontiac,28
MD,"Ellicott City",28
MA,Westford,28
IL,Bolingbrook,28
VA,"North Chesterfield",27
NY,Niskayuna,27
NJ,Edgewater,27
MN,Plymouth,27
MI,"Ann Arbor ",27
MD,"Chevy Chase",27
MA,Northborough,27
CO,"Colorado Springs",27
OR,Beaverton,26
NJ,Rahway,26
NC,"High Point",26
MA,Lowell,26
IL,Rosemont,26
VA,Chester,25
TX,Stafford,25
PA,"North Wales",25
NJ,"South Amboy",25
CA,Petaluma,25
CA,"San Francisco",25
WI,Greenfield,24
WI,"Green Bay",24
VA,Verona,24
PA,Philadelphia,24
NJ,"East Hanover",24
NJ,Bedminster,24
MO,Sikeston,24
MD,"Columbia ",24
MD,Baltimore,24
CA,"South San Francisco",24
CT,Stamford,24
WA,Vancouver,23
CA,Cerritos,23
NJ,"Princeton Junction",23
MO,"Maryland Heights",23
MD,Frederick,23
MA,Waltham,23
IL," Chicago,",23
FL,"Palm Beach Gardens",23
TN,Memphis,22
OR,"Lake Oswego",22
OH,Dublin,22
OH,"Columbus ",22
MA,Burlington,22
IN,Fishers,22
CA,Tustin,22
DC,Washington,22
SC,"Indian Land",21
PA,Harrisburg,21
OH,"Blue Ash",21
NJ,Warren,21
NJ,Summit,21
NC,Mooresville,21
MS,Jackson,21
MN,Hopkins,21
IL,Moline,21
CT,Meriden,21
AL,"Montgomery ",20
TX,Fortworth,20
RI,Smithfield,20
NJ,Nutley,20
MN,Woodbury,20
MN,Roseville,20
MN,Minneapolis,20
MD,"Windsor Mill",20
CA,"Rancho Cordova",20
MD,Hanover,20
