soc_title,industry,total_cases
"Database Administrators","Custom Computer Programming Services",3601
"Data Warehousing Specialists","Custom Computer Programming Services",693
"Database Architects","Custom Computer Programming Services",395
"Data Warehousing Specialists","Internet Publishing and Broadcasting and Web Search Portals",158
"Data Warehousing Specialists","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",150
"Database Administrators","Computer Systems Design Services",124
"Data Warehousing Specialists","Computer Systems Design Services",124
"Database Architects","Computer Systems Design Services",85
"Database Architects","Management, Scientific, and Technical Consulting Services",82
"Database Administrators","Computer Systems Design and Related Services",78
"Database Administrators","Other Computer Related Services",51
"Clinical Data Managers","Custom Computer Programming Services",47
"Data Warehousing Specialists","Other Computer Related Services",36
"Database Architects","Other Computer Related Services",31
"Database Architects","Computer Systems Design and Related Services",31
"Clinical Data Managers","Environmental Consulting Services",30
"Database Administrators","Management, Scientific, and Technical Consulting Services",25
"Data Scientists","Custom Computer Programming Services",23
"Clinical Data Managers","Management, Scientific, and Technical Consulting Services",21
"Database Architects","Financial Transactions Processing, Reserve, and Clearinghouse Activities",17
"Database Administrators","Engineering Services",15
"Data Warehousing Specialists","Computer Systems Design and Related Services",14
"Database Administrators","Financial Transactions Processing, Reserve, and Clearinghouse Activities",12
"Data Warehousing Specialists","Software Publishers",11
"Data Scientists","All Other Professional, Scientific, and Technical Services",11
"Clinical Data Managers","All Other Professional, Scientific, and Technical Services",10
"Data Scientists","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",9
"Data Warehousing Specialists","Management, Scientific, and Technical Consulting Services",9
"Clinical Data Managers","Temporary Help Services",8
"Clinical Data Managers","Computer Systems Design Services",8
"Data Scientists","Electronic Shopping and Mail-Order Houses",8
"Database Architects","Software Publishers",7
"Data Scientists","Internet Publishing and Broadcasting and Web Search Portals",7
"Data Scientists","Software Publishers",6
"Database Architects","Internet Publishing and Broadcasting and Web Search Portals",6
"Data Warehousing Specialists","All Other Professional, Scientific, and Technical Services",6
"Data Scientists","Financial Transactions Processing, Reserve, and Clearinghouse Activities",6
"Database Administrators","All Other Professional, Scientific, and Technical Services",6
"Database Architects","All Other Professional, Scientific, and Technical Services",5
"Clinical Data Managers","Other Computer Related Services",4
"Data Scientists","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing",4
"Data Scientists","Computer Systems Design Services",4
"Database Architects","Professional Employer Organizations",4
"Database Administrators","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing",4
"Database Administrators","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",4
"Database Architects","Other Scientific and Technical Consulting Services",3
"Database Administrators","Semiconductor and Related Device Manufacturing",3
"Database Architects","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",3
"Database Architects","Management Consulting Services",3
"Database Administrators","Research and Development in the Physical, Engineering, and Life Services",3
"Data Scientists","Computer Systems Design and Related Services",3
"Data Scientists","Other Computer Related Services",3
"Database Administrators","Other Information Services",2
"Database Administrators","Electronic Computer Manufacturing",2
"Clinical Data Managers","Computer Systems Design and Related Services",2
"Database Architects","Other Insurance Related Activities",2
"Database Administrators","Administrative Management and General Management Consulting Services",2
"Database Administrators","Professional Employer Organizations",2
"Database Architects","Employment Services",2
"Database Architects","Engineering Services",2
"Database Architects","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing",2
"Database Administrators","Electronic Shopping and Mail-Order Houses",1
"Clinical Data Managers","Other Social Advocacy Organizations",1
"Database Administrators","Other Management Consulting Services",1
"Data Scientists","Electronic Computer Manufacturing",1
"Database Administrators","Other Professional, Scientific, and Technical Services",1
"Data Scientists","Voluntary Health Organizations",1
"Data Scientists","Management, Scientific, and Technical Consulting Services",1
"Database Administrators","All Other Electrical Equipment and Component Manufacturing",1
"Clinical Data Managers","Research and Development in the Physical, Engineering, and Life Services",1
"Data Warehousing Specialists","Financial Transactions Processing, Reserve, and Clearinghouse Activities",1
"Database Architects","Semiconductor and Related Device Manufacturing",1
"Database Architects","Other Information Services",1
"Database Architects","Wholesale Trade Agents and Brokers",1
"Database Administrators","Pharmaceutical and Medicine Manufacturing",1
"Database Administrators","Software Publishers",1
"Database Administrators","Medical and Diagnostic Laboratories",1
"Database Administrators","All Other Information Services",1
"Data Warehousing Specialists","Full-Service Restaurants",1
"Database Administrators","Investment Advice",1
"Database Administrators","Environmental Consulting Services",1
"Database Administrators","Employment Placement Agencies",1
"Database Administrators","Temporary Help Services",1
"Database Architects","Communications Equipment Manufacturing",1
"Database Administrators","Computer Facilities Management Services",1
"Database Administrators","Perishable Prepared Food Manufacturing",1
"Database Administrators","Other Insurance Related Activities",1
