soc_title,state,total_cases
"Database Administrators",IL,2189
"Database Administrators",TX,345
"Data Warehousing Specialists",CA,205
"Database Administrators",CA,189
"Data Warehousing Specialists",TX,168
"Database Architects",TX,150
"Database Administrators",NJ,129
"Data Warehousing Specialists",WA,123
"Database Administrators",GA,115
"Database Administrators",VA,109
"Data Warehousing Specialists",NJ,88
"Database Administrators",FL,85
"Database Architects",NJ,71
"Database Architects",CA,68
"Data Warehousing Specialists",IL,65
"Database Administrators",MA,64
"Database Administrators",NY,62
"DATABASE ADMINISTRATORS",NC,61
"Data Warehousing Specialists",GA,59
"Database Administrators",PA,54
"Database Administrators",MI,51
"Database Administrators",OH,51
"Data Warehousing Specialists",MI,51
"Data Warehousing Specialists",NC,48
"Database Administrators",MO,45
"Database Administrators",MD,45
"Data Warehousing Specialists",NY,45
"Database Architects",IL,44
"Data Warehousing Specialists",FL,40
"Database Administrators",IN,38
"DATABASE ADMINISTRATORS",AZ,37
"Database Architects",GA,37
"Database Administrators",TN,34
"Database Administrators",WA,33
"Clinical Data Managers",NJ,33
"Data Scientists",CA,32
"Database Architects",FL,31
"Data Warehousing Specialists",MA,30
"Database Architects",NC,29
"Data Warehousing Specialists",AZ,29
"Database Administrators",CO,28
"Data Warehousing Specialists",AR,28
"Data Warehousing Specialists",IN,28
"Data Warehousing Specialists",PA,28
"Database Administrators",MN,26
"Database Architects",NY,26
"Database Architects",VA,25
"Data Warehousing Specialists",VA,25
"Database Administrators",WI,23
"Database Architects",MA,22
"Data Warehousing Specialists",OH,22
"Data Warehousing Specialists",CT,21
"Data Warehousing Specialists",MN,19
"Database Architects",PA,18
"Database Architects",TN,17
"Database Administrators",CT,16
"Database Architects",MI,16
"Database Architects",WA,14
"Database Administrators",DC,13
"Database Administrators",IA,12
"Clinical Data Managers",TX,12
"Database Administrators",UT,11
"Clinical Data Managers",MA,11
"Database Architects",IN,11
"Database Architects",MN,11
"Clinical Data Managers",PA,11
"Database Administrators",RI,10
"Database Administrators",KY,10
"Data Scientists",TX,10
"Data Warehousing Specialists",KY,10
"Database Administrators",AR,9
"Clinical Data Managers",NC,9
"Database Architects",DE,9
"Database Architects",OH,9
"Clinical Data Managers",CA,9
"Data Warehousing Specialists",DE,9
"Database Administrators",DE,8
"Database Administrators",NH,8
"Database Architects",MD,8
"Data Warehousing Specialists",MO,8
"Data Warehousing Specialists",TN,8
"Data Warehousing Specialists",WI,8
"Data Scientists",NY,7
"Data Scientists",WA,7
"Database Architects",CO,7
"Data Warehousing Specialists",MD,7
"Database Administrators",NV,6
"Database Administrators",OR,6
"Database Administrators",SC,6
"Database Administrators",AL,6
"Clinical Data Managers",MO,6
"Database Architects",AZ,6
"Database Architects",MO,6
"Database Architects",IA,6
"Clinical Data Managers",IL,6
"Database Architects",AR,6
"Data Warehousing Specialists",OR,6
"Data Warehousing Specialists",IA,6
"Data Scientists",MA,6
"Database Architects",OR,5
