worksite_id,city,state
1000,Cordova,TN
1001,Houston,TX
1002,Reston,VA
1003,Newington,CT
1004,O'Fallon,MO
1005,Alpharetta,GA
1006,Hartford,CT
1007,Schaumburg,IL
1008,Louisville,KY
1009,East Windsor,NJ
1010,Menlo Park,CA
1011,San Jose,CA
1012,Princeton,NJ
1013,North Wales,PA
1014,Chicago,IL
1015,Winston-Salem,NC
1016,Albany,NY
1017,Mount Laurel,NJ
1018,Chandler,AZ
1019,Long Beach,CA
1020,Plano,TX
1021,Lexington,MA
1022,Bellevue,WA
1023,Tempe,AZ
1024,Charlotte,NC
1025,Mckinney,TX
1026,Blue Bell,PA
1027,Morrisville,NC
1028,Fremont,CA
1029,San Diego,CA
1030,Virginia Beach,VA
1031,Detroit,MI
1032,Boise,ID
1033,Boston,MA
1034,Malvern,PA
1035,Burbank,CA
1036,Sunnyvale,CA
1037,Rockville,MD
1038,O Fallon,MO
1039,Allen Park,MI
1040,Jersey City,NJ
1041,Dearborn,MI
1042,Seattle,WA
1043,Herndon,VA
1044,Teaneck,NJ
1045,Trenton,NJ
1046,Norfolk,VA
1047,Redmond,WA
1048,Leander,TX
1049,Dallas,TX
1050,Nashville,TN
1051,Grand Rapids,MI
1052,Collierville ,TN
1053,Columbus,IN
1054,Atlanta,GA
1055,Studio City,CA
1056,Cumming,GA
1057,Santa Clara,CA
1058,"Northbrook,",IL
1059,Sylmar ,CA
1060,Colorado Springs,CO
1061,Columbia,MD
1062,Phoenix,AZ
1063,Irving,TX
1064,Addison,TX
1065,New York,NY
1066,Chevy Chase,MD
1067,Nc ,NC
1068,Tampa,FL
1069,Mclean,VA
1070,Pembroke Pines,FL
1071,San Ramon,CA
1072,Rosemead ,CA
1073,Melbourne,FL
1074,Katy,TX
1075,Austin,TX
1076,Iselin,NJ
1077,Auburn Hills,MI
1078,Lone Tree,CO
1079,Westerville,OH
1080,San Clemente,CA
1081,Columbia ,SC
1082,Saint Paul,MN
1083,Macomb,MI
1084,Mason,OH
1085,Philadelphia,PA
1086,Wilmington,DE
1087,Norwood,MA
1088,Greenwood Village,CO
1089,Fairfax,VA
1090,Indianapolis,IN
1091,Middletown ,NJ
1092,New Brunswick,NJ
1093,Quincy,MA
1094,Bloomington,IL
1095,Orlando,FL
1096, Moon Twp,PA
1097,Richardson,TX
1098,#19820 Detroit Msa,MI
1099,Honolulu,HI
1100,Chattanooga,TN
1101,Ridgefield,CT
1102,Peoria,IL
1103,Fort Worth,TX
1104,Foster City,CA
